"Source","Target","Weight"
"v-1","v-2",0.1011
"v-1","v-3",0.1041
"v-1","v-4",0.1034
"v-1","v-5",0.1004
"v-1","v-6",0.1077
"v-1","v-7",0.1028
"v-1","v-8",0.1021
"v-1","v-11",0.1038
"v-1","v-12",0.1045
"v-1","v-14",0.1016
"v-1","v-16",0.105
"v-1","v-17",0.104
"v-1","v-20",0.1064
"v-1","v-22",0.1069
"v-1","v-23",0.1008
"v-1","v-25",0.1045
"v-1","v-26",0.1036
"v-1","v-27",0.1037
"v-1","v-29",0.1029
"v-1","v-31",0.1015
"v-1","v-32",0.1025
"v-1","v-33",0.1003
"v-1","v-36",0.1011
"v-1","v-37",0.1018
"v-1","v-39",0.1026
"v-1","v-40",0.1007
"v-1","v-42",0.1026
"v-1","v-43",0.1028
"v-1","v-45",0.1023
"v-1","v-46",0.1049
"v-1","v-47",0.1038
"v-1","v-52",0.1024
"v-1","v-56",0.1011
"v-1","v-57",0.1023
"v-1","v-58",0.1002
"v-1","v-59",0.1012
"v-1","v-60",0.1025
"v-1","v-62",0.1013
"v-1","v-64",0.1031
"v-1","v-65",0.1074
"v-1","v-66",0.1039
"v-1","v-67",0.1036
"v-1","v-68",0.1012
"v-1","v-70",0.1057
"v-2","v-1",0.1011
"v-2","v-4",0.1011
"v-2","v-5",0.1028
"v-2","v-8",0.1072
"v-2","v-9",0.1043
"v-2","v-10",0.1044
"v-2","v-13",0.1007
"v-2","v-14",0.1028
"v-2","v-15",0.1035
"v-2","v-16",0.1033
"v-2","v-17",0.1025
"v-2","v-18",0.1042
"v-2","v-19",0.1007
"v-2","v-20",0.1074
"v-2","v-21",0.1027
"v-2","v-22",0.1032
"v-2","v-23",0.1001
"v-2","v-24",0.1024
"v-2","v-26",0.1028
"v-2","v-28",0.1028
"v-2","v-29",0.1046
"v-2","v-31",0.1004
"v-2","v-32",0.1014
"v-2","v-33",0.102
"v-2","v-35",0.1043
"v-2","v-36",0.1063
"v-2","v-37",0.1097
"v-2","v-38",0.1017
"v-2","v-40",0.1023
"v-2","v-41",0.106
"v-2","v-42",0.1029
"v-2","v-43",0.1006
"v-2","v-45",0.1029
"v-2","v-46",0.104
"v-2","v-47",0.1023
"v-2","v-49",0.1073
"v-2","v-50",0.104
"v-2","v-51",0.1033
"v-2","v-52",0.1007
"v-2","v-53",0.104
"v-2","v-54",0.102
"v-2","v-55",0.1006
"v-2","v-57",0.1005
"v-2","v-58",0.1056
"v-2","v-60",0.1024
"v-2","v-61",0.1086
"v-2","v-62",0.1006
"v-2","v-63",0.1029
"v-2","v-64",0.1026
"v-2","v-66",0.104
"v-2","v-67",0.1025
"v-2","v-68",0.1022
"v-2","v-69",0.1026
"v-2","v-70",0.1012
"v-3","v-1",0.1041
"v-3","v-4",0.1037
"v-3","v-5",0.1071
"v-3","v-8",0.1064
"v-3","v-9",0.1031
"v-3","v-10",0.1067
"v-3","v-11",0.1061
"v-3","v-12",0.1015
"v-3","v-13",0.1043
"v-3","v-14",0.1006
"v-3","v-15",0.1027
"v-3","v-16",0.1079
"v-3","v-17",0.1006
"v-3","v-18",0.1038
"v-3","v-19",0.101
"v-3","v-23",0.105
"v-3","v-24",0.1015
"v-3","v-26",0.1071
"v-3","v-28",0.1045
"v-3","v-30",0.1034
"v-3","v-31",0.1091
"v-3","v-32",0.1021
"v-3","v-33",0.104
"v-3","v-34",0.1029
"v-3","v-35",0.1032
"v-3","v-36",0.1048
"v-3","v-38",0.1014
"v-3","v-39",0.1007
"v-3","v-40",0.1013
"v-3","v-42",0.103
"v-3","v-43",0.1051
"v-3","v-46",0.1028
"v-3","v-49",0.1022
"v-3","v-50",0.1012
"v-3","v-51",0.1115
"v-3","v-52",0.1026
"v-3","v-53",0.1036
"v-3","v-56",0.1061
"v-3","v-57",0.1016
"v-3","v-59",0.1013
"v-3","v-60",0.1027
"v-3","v-61",0.1004
"v-3","v-62",0.1043
"v-3","v-64",0.1012
"v-3","v-66",0.1004
"v-3","v-67",0.1054
"v-3","v-68",0.1061
"v-3","v-69",0.1019
"v-4","v-1",0.1034
"v-4","v-2",0.1011
"v-4","v-3",0.1037
"v-4","v-5",0.1013
"v-4","v-7",0.1005
"v-4","v-8",0.1049
"v-4","v-11",0.103
"v-4","v-12",0.1
"v-4","v-13",0.1022
"v-4","v-14",0.1036
"v-4","v-16",0.1015
"v-4","v-18",0.1045
"v-4","v-19",0.1024
"v-4","v-20",0.1051
"v-4","v-21",0.1007
"v-4","v-22",0.1014
"v-4","v-23",0.1086
"v-4","v-26",0.1086
"v-4","v-27",0.1037
"v-4","v-29",0.1054
"v-4","v-30",0.1043
"v-4","v-31",0.1057
"v-4","v-32",0.1036
"v-4","v-33",0.1025
"v-4","v-34",0.1035
"v-4","v-36",0.1016
"v-4","v-38",0.1011
"v-4","v-39",0.1028
"v-4","v-40",0.1023
"v-4","v-41",0.1019
"v-4","v-43",0.1046
"v-4","v-46",0.1002
"v-4","v-48",0.1025
"v-4","v-49",0.1025
"v-4","v-51",0.1034
"v-4","v-52",0.1072
"v-4","v-53",0.1071
"v-4","v-55",0.1011
"v-4","v-56",0.106
"v-4","v-57",0.1019
"v-4","v-58",0.1019
"v-4","v-60",0.1025
"v-4","v-61",0.1029
"v-4","v-63",0.1069
"v-4","v-65",0.1012
"v-4","v-67",0.1006
"v-4","v-68",0.1051
"v-4","v-69",0.1016
"v-4","v-70",0.1023
"v-5","v-1",0.1004
"v-5","v-2",0.1028
"v-5","v-3",0.1071
"v-5","v-4",0.1013
"v-5","v-6",0.1009
"v-5","v-8",0.1096
"v-5","v-9",0.1025
"v-5","v-10",0.1079
"v-5","v-11",0.1033
"v-5","v-12",0.1049
"v-5","v-13",0.1104
"v-5","v-14",0.1056
"v-5","v-15",0.1046
"v-5","v-16",0.1009
"v-5","v-17",0.1065
"v-5","v-18",0.1065
"v-5","v-20",0.1061
"v-5","v-21",0.101
"v-5","v-23",0.1025
"v-5","v-26",0.1044
"v-5","v-27",0.1001
"v-5","v-28",0.1011
"v-5","v-29",0.1016
"v-5","v-30",0.1054
"v-5","v-31",0.1037
"v-5","v-32",0.104
"v-5","v-33",0.1021
"v-5","v-34",0.1082
"v-5","v-35",0.1025
"v-5","v-36",0.1049
"v-5","v-37",0.101
"v-5","v-38",0.103
"v-5","v-39",0.1042
"v-5","v-40",0.1001
"v-5","v-42",0.1102
"v-5","v-43",0.1003
"v-5","v-44",0.1034
"v-5","v-45",0.1021
"v-5","v-46",0.1036
"v-5","v-47",0.102
"v-5","v-48",0.1032
"v-5","v-51",0.103
"v-5","v-52",0.1023
"v-5","v-53",0.1026
"v-5","v-54",0.1044
"v-5","v-55",0.1023
"v-5","v-56",0.107
"v-5","v-57",0.1032
"v-5","v-58",0.1061
"v-5","v-59",0.1001
"v-5","v-61",0.1002
"v-5","v-62",0.1035
"v-5","v-65",0.1054
"v-5","v-67",0.1035
"v-5","v-68",0.1015
"v-5","v-69",0.1032
"v-5","v-70",0.102
"v-6","v-1",0.1077
"v-6","v-5",0.1009
"v-6","v-7",0.1028
"v-6","v-10",0.1033
"v-6","v-14",0.1026
"v-6","v-15",0.1034
"v-6","v-16",0.1061
"v-6","v-18",0.1039
"v-6","v-19",0.1
"v-6","v-20",0.1048
"v-6","v-21",0.1039
"v-6","v-22",0.1069
"v-6","v-24",0.1016
"v-6","v-26",0.1028
"v-6","v-28",0.1014
"v-6","v-29",0.1043
"v-6","v-30",0.1015
"v-6","v-31",0.1029
"v-6","v-32",0.1008
"v-6","v-33",0.1057
"v-6","v-36",0.1012
"v-6","v-37",0.1037
"v-6","v-38",0.104
"v-6","v-39",0.1025
"v-6","v-41",0.104
"v-6","v-42",0.1049
"v-6","v-43",0.1044
"v-6","v-44",0.1069
"v-6","v-47",0.1011
"v-6","v-48",0.1033
"v-6","v-49",0.1045
"v-6","v-50",0.1091
"v-6","v-51",0.1022
"v-6","v-52",0.1034
"v-6","v-53",0.1037
"v-6","v-54",0.1065
"v-6","v-55",0.1051
"v-6","v-56",0.1028
"v-6","v-57",0.1006
"v-6","v-58",0.1004
"v-6","v-59",0.1025
"v-6","v-60",0.1035
"v-6","v-61",0.1037
"v-6","v-62",0.1025
"v-6","v-63",0.1058
"v-6","v-64",0.105
"v-6","v-65",0.105
"v-6","v-67",0.1012
"v-6","v-68",0.1033
"v-6","v-69",0.1034
"v-6","v-70",0.1038
"v-7","v-1",0.1028
"v-7","v-4",0.1005
"v-7","v-6",0.1028
"v-7","v-10",0.1059
"v-7","v-11",0.1002
"v-7","v-12",0.1076
"v-7","v-14",0.1034
"v-7","v-16",0.1047
"v-7","v-17",0.1043
"v-7","v-19",0.103
"v-7","v-20",0.1016
"v-7","v-21",0.1029
"v-7","v-24",0.1022
"v-7","v-26",0.1003
"v-7","v-27",0.1042
"v-7","v-29",0.1047
"v-7","v-36",0.1022
"v-7","v-38",0.1036
"v-7","v-39",0.1024
"v-7","v-40",0.1026
"v-7","v-43",0.1025
"v-7","v-44",0.1
"v-7","v-45",0.1006
"v-7","v-49",0.1032
"v-7","v-50",0.1013
"v-7","v-51",0.1007
"v-7","v-52",0.1032
"v-7","v-53",0.1127
"v-7","v-54",0.1027
"v-7","v-55",0.1056
"v-7","v-56",0.1064
"v-7","v-57",0.101
"v-7","v-59",0.1026
"v-7","v-60",0.1017
"v-7","v-61",0.1084
"v-7","v-62",0.1039
"v-7","v-63",0.1012
"v-7","v-65",0.1018
"v-7","v-66",0.1037
"v-7","v-68",0.1029
"v-7","v-70",0.1004
"v-8","v-1",0.1021
"v-8","v-2",0.1072
"v-8","v-3",0.1064
"v-8","v-4",0.1049
"v-8","v-5",0.1096
"v-8","v-9",0.1074
"v-8","v-10",0.1076
"v-8","v-11",0.1045
"v-8","v-12",0.1028
"v-8","v-13",0.1073
"v-8","v-14",0.1036
"v-8","v-15",0.1035
"v-8","v-16",0.1039
"v-8","v-17",0.1047
"v-8","v-18",0.1073
"v-8","v-19",0.1031
"v-8","v-20",0.1056
"v-8","v-21",0.1037
"v-8","v-22",0.1071
"v-8","v-25",0.1006
"v-8","v-26",0.1037
"v-8","v-27",0.1041
"v-8","v-28",0.104
"v-8","v-29",0.1052
"v-8","v-31",0.1009
"v-8","v-33",0.1002
"v-8","v-34",0.1018
"v-8","v-37",0.102
"v-8","v-39",0.1021
"v-8","v-40",0.1073
"v-8","v-41",0.1026
"v-8","v-42",0.1028
"v-8","v-43",0.1024
"v-8","v-44",0.1043
"v-8","v-45",0.1015
"v-8","v-46",0.1046
"v-8","v-47",0.1024
"v-8","v-50",0.1042
"v-8","v-51",0.1085
"v-8","v-52",0.102
"v-8","v-53",0.1036
"v-8","v-54",0.1031
"v-8","v-56",0.104
"v-8","v-58",0.1033
"v-8","v-59",0.1058
"v-8","v-60",0.1048
"v-8","v-62",0.1004
"v-8","v-64",0.1037
"v-8","v-65",0.1061
"v-8","v-66",0.1015
"v-8","v-68",0.1023
"v-8","v-69",0.1028
"v-9","v-2",0.1043
"v-9","v-3",0.1031
"v-9","v-5",0.1025
"v-9","v-8",0.1074
"v-9","v-10",0.1025
"v-9","v-11",0.1054
"v-9","v-12",0.1023
"v-9","v-14",0.1008
"v-9","v-15",0.1003
"v-9","v-18",0.1069
"v-9","v-19",0.1008
"v-9","v-20",0.101
"v-9","v-22",0.1021
"v-9","v-24",0.1013
"v-9","v-25",0.1045
"v-9","v-26",0.1035
"v-9","v-27",0.1029
"v-9","v-28",0.1036
"v-9","v-29",0.1012
"v-9","v-30",0.1032
"v-9","v-31",0.1064
"v-9","v-32",0.1032
"v-9","v-33",0.1004
"v-9","v-34",0.1016
"v-9","v-35",0.1024
"v-9","v-36",0.105
"v-9","v-37",0.107
"v-9","v-39",0.1016
"v-9","v-40",0.1029
"v-9","v-41",0.1056
"v-9","v-42",0.1085
"v-9","v-43",0.103
"v-9","v-44",0.1002
"v-9","v-45",0.1061
"v-9","v-46",0.109
"v-9","v-47",0.1005
"v-9","v-49",0.1065
"v-9","v-50",0.1058
"v-9","v-51",0.1025
"v-9","v-52",0.1045
"v-9","v-53",0.1062
"v-9","v-54",0.1015
"v-9","v-55",0.1017
"v-9","v-56",0.1026
"v-9","v-58",0.1001
"v-9","v-59",0.1019
"v-9","v-60",0.1006
"v-9","v-61",0.1023
"v-9","v-62",0.1027
"v-9","v-63",0.1026
"v-9","v-64",0.1024
"v-9","v-65",0.1034
"v-9","v-66",0.1028
"v-9","v-67",0.1068
"v-9","v-69",0.1038
"v-9","v-70",0.1073
"v-10","v-2",0.1044
"v-10","v-3",0.1067
"v-10","v-5",0.1079
"v-10","v-6",0.1033
"v-10","v-7",0.1059
"v-10","v-8",0.1076
"v-10","v-9",0.1025
"v-10","v-11",0.1007
"v-10","v-13",0.1014
"v-10","v-14",0.1054
"v-10","v-15",0.1026
"v-10","v-16",0.1005
"v-10","v-17",0.1068
"v-10","v-20",0.1015
"v-10","v-21",0.1034
"v-10","v-23",0.109
"v-10","v-24",0.1071
"v-10","v-27",0.1047
"v-10","v-28",0.1058
"v-10","v-29",0.1024
"v-10","v-30",0.1094
"v-10","v-31",0.1008
"v-10","v-32",0.1031
"v-10","v-34",0.1014
"v-10","v-35",0.1042
"v-10","v-37",0.1027
"v-10","v-38",0.1054
"v-10","v-39",0.1041
"v-10","v-40",0.1023
"v-10","v-42",0.1054
"v-10","v-44",0.1043
"v-10","v-46",0.1014
"v-10","v-47",0.1057
"v-10","v-49",0.102
"v-10","v-50",0.1044
"v-10","v-52",0.1031
"v-10","v-53",0.103
"v-10","v-54",0.1001
"v-10","v-55",0.1044
"v-10","v-56",0.1005
"v-10","v-58",0.1044
"v-10","v-59",0.1019
"v-10","v-60",0.1039
"v-10","v-61",0.1016
"v-10","v-62",0.1003
"v-10","v-63",0.1107
"v-10","v-64",0.1015
"v-10","v-65",0.1019
"v-10","v-66",0.107
"v-10","v-67",0.1036
"v-10","v-68",0.1038
"v-10","v-70",0.1002
"v-11","v-1",0.1038
"v-11","v-3",0.1061
"v-11","v-4",0.103
"v-11","v-5",0.1033
"v-11","v-7",0.1002
"v-11","v-8",0.1045
"v-11","v-9",0.1054
"v-11","v-10",0.1007
"v-11","v-12",0.1012
"v-11","v-14",0.1047
"v-11","v-16",0.1014
"v-11","v-17",0.1034
"v-11","v-19",0.1014
"v-11","v-20",0.1002
"v-11","v-21",0.1056
"v-11","v-22",0.1023
